Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Swimming duration (ms),Paced walking duration (ms)
2023-04-25,70,1752.1059591312526,4616.551331288629,39.0,39,,,,,,,,0.4868998648674704,1.6748344231438719,0.2669425536985207,6446,,,,,,5405971,,,,
2023-04-26,167,2098.012879298277,11945.176118927991,106.0,106,,,,,,,,0.4730433018385806,1.7757910362431315,0.25581994729441565,16379,,,,,,12722517,,,,
2023-04-27,160,2016.6959677769544,11027.486935498366,101.0,97,,,,,,,,0.8860121605426368,2.7085582260881003,0.253324006607923,15491,,,,,,11002594,,,,
2023-04-28,162,2194.055863488608,10314.947774062392,69.0,69,,,,,,,,0.5122591768108505,1.9638571021624336,0.25581994729441565,14829,,,,,,14593784,68640,,,
2023-04-29,117,1950.9507050535178,7625.193734208347,70.0,70,,,,,,,,0.6510786179273507,1.767702505183444,0.25338422258888976,10966,,,,,,9612025,,,,
2023-04-30,55,1769.1337131746993,3363.383200340316,25.0,25,,,,,,,,0.4781268890887463,1.462443442944931,0.25581994729441565,5000,,,,,,5766438,,,,
2023-05-01,103,2131.5321297870505,6213.44970487165,41.0,41,,,,,,,,0.41850810512865855,1.4687138264510828,0.25581994729441565,9454,,,,,,13431478,,,,
2023-05-02,52,1786.321799000162,3849.915465899792,39.0,39,,,,,,,,1.0388084562455662,1.519778419217837,0.3336781807336023,5410,,,,,,6129981,,,,
2023-05-03,155,2055.8808812441544,11110.278198112768,90.0,90,,,,,,,,0.637957502360636,1.647083748649581,0.25581994729441565,15525,,,,,,11819935,,,,
2023-05-04,77,1788.1138905158148,4377.435977007844,23.0,23,,,,,,,,0.40114393342809046,1.5472733923062947,0.25262637543115296,6747,,,,,,6167887,,,,
2023-05-05,189,2135.116576035529,14295.380572990056,147.0,147,,,,,,,,0.745280743093419,1.8127056607053935,0.24960423358150663,19484,,,,,,13227242,120173,,,
2023-05-06,148,1864.0424595584993,10802.352811762692,105.0,105,,,,,,,,0.7319778590046926,1.6629048846350825,0.2780651601026257,14776,,,,,,7553400,94593,,,
2023-05-07,9,1547.2506677421218,474.8703477535243,,,,,,,,,,0.34429613329154174,0.7089575390315536,0.25581994729441565,828,,,,,,370440,301658,,,
2023-05-08,213,2102.277150213648,14094.306027892948,118.0,115,,,,,,,,0.7794816150755771,2.0900160034992763,0.2669425536985207,19441,,,,,,12735706,,,,
2023-05-09,98,1817.451484501922,6546.809525671288,53.0,52,,,,,,,,0.5817568916756694,2.559361218701759,0.3003103729108358,9124,,,,,,6788401,,,,
2023-05-10,169,2128.9421790573824,11242.293373811804,87.0,87,,,,,,,,0.6418503072874555,1.6003726618527445,0.2669425536985207,15937,,,,,,13376698,,,,
2023-05-11,20,1664.3977833618894,1410.3062667674553,10.0,10,,,,,,,,0.5924734781735284,1.4882817628932508,0.25291618560125273,2164,,,,,,3551182,,,,
2023-05-12,316,2706.632178677026,20598.01458883268,167.0,167,,,,,,,,0.7319529125205382,1.8037658827902348,0.2669425536985207,28912,,,,,,25595342,,,,
2023-05-13,291,2543.9899147910196,18759.54654393001,151.0,151,,,,,,,,0.5840945026846611,1.513986700695582,0.25581994729441565,26554,,,,,,22155315,,,,
2023-05-14,46,1738.5697580697752,3372.8237706546693,28.0,26,,,,,,,,0.4723512304923788,2.7054052000127453,0.24799770983201266,4840,,,,,,4960234,68551,,,
